121p,A
1aa9,A
1agp,A
1bkd,R
1clu,A
1crp,A
1crq,A
1crr,A
1ctq,A
1gnp,A
1gnq,A
1gnr,A
1he8,B
1iaq,A
1iaq,B
1iaq,C
1ioz,A
1jah,A
1jai,A
1k8r,A
1lf0,A
1lf5,A
1lfd,B
1lfd,D
1nvu,Q
1nvu,R
1nvv,Q
1nvv,R
1nvw,Q
1nvw,R
1nvx,Q
1nvx,R
1p2s,A
1p2t,A
1p2u,A
1p2v,A
1plj,A
1plk,A
1pll,A
1q21,A
1qra,A
1rvd,A
1wq1,R
1xcm,A
1xd2,A
1xd2,B
1xj0,A
1zvq,A
1zw6,A
221p,A
2c5l,A
2c5l,B
2ce2,X
2cl0,X
2cl6,X
2cl7,X
2clc,X
2cld,X
2evw,X
2lcf,A
2lwi,A
2n42,A
2n46,A
2q21,A
2quz,A
2rga,A
2rgb,A
2rgc,A
2rgd,A
2rge,A
2rgg,A
2uzi,R
2vh5,R
2x1v,A
3ddc,A
3k8y,A
3k9l,A
3k9l,B
3k9l,C
3k9n,A
3kkm,A
3kkn,A
3kud,A
3l8y,A
3l8z,A
3lbh,A
3lbi,A
3lbn,A
3lo5,A
3lo5,C
3lo5,E
3oiu,A
3oiv,A
3oiw,A
3rry,A
3rrz,A
3rs0,A
3rs2,A
3rs3,A
3rs4,A
3rs5,A
3rs7,A
3rsl,A
3rso,A
3tgp,A
421p,A
4dlr,A
4dls,A
4dlt,A
4dlu,A
4dlv,A
4dlw,A
4dlx,A
4dly,A
4dlz,A
4efl,A
4efm,A
4efn,A
4g0n,A
4g3x,A
4l9s,A
4l9w,A
4nyi,R
4nyi,Q
4nyj,R
4nyj,Q
4nym,R
4nym,Q
4q21,A
4rsg,A
4uru,R
4urv,R
4urw,R
4ury,R
4urz,R
4us1,R
4us2,R
4xvq,A
4xvr,A
521p,A
5b2z,A
5b30,A
5e95,A
5p21,A
5wdo,A
5wdo,A
5wdp,A
5wdp,A
5wdq,A
5wdq,A
621p,A
6q21,A
6q21,B
6q21,C
721p,A
821p,A
