1u8y,A
2fu5,C
1g17,A
3jza,A
5fi1,B
4lpk,A
4tqa,A
1agp,A
1aje,A
3gcg,A
3con,A
1x86,B
3ref,B
3b13,B
3x1y,A
1yzu,A
4u5x,A
3zjy,A
3gj4,A
2bcg,Y
1tu4,A
3dz8,A
4gzm,A
2if0,A
5a0f,A
4phg,A
5fr2,A
2gf9,A
2gil,A
3x1w,A
5kyk,A
1xtq,A
1mh1,A
5hpy,B
3msx,A
4l9s,A
1xcm,A
2l0x,A
1lf0,A
1ryf,A
4d0l,B
3icq,B
1nf3,A
2wbl,C
5m6x,B
5uhv,A
2gzd,A
4efm,A
3x1z,A
4tq9,A
4z8y,A
2oil,A
4uru,R
2cld,X
3nc1,C
1yzq,A
2w2t,A
5ldd,C
2o52,A
2rgc,A
1xcg,B
2wwx,A
5xco,A
2fju,A
4lhw,A
4klz,A
2j1l,A
1yvd,A
4k81,B
5szi,A
3sua,A
1n6h,A
4d0g,A
3vhl,B
1rrp,A
5dh9,A
3sbd,A
2iey,A
4xh9,B
1z0k,A
3q85,A
2atx,A
2erx,A
2ew1,A
4uj3,A
2g77,B
3t5g,A
4pzz,A
1he1,C
3cbq,A
4yc7,A
2wm9,B
1i4d,D
3pir,A
2w2v,A
4pzy,A
2g3y,A
4qxa,A
4uj4,A
3ryt,C
3bfk,A
2f7s,A
2g6b,A
4lwz,A
3qbt,A
3lo5,A
4kyi,B
