sp|P01111|RASN_HUMAN,gi|178847620|pdb|3CON|A,100.000,100.00,172,0,0,1,172,19,190,1.16e-127,357
sp|P01111|RASN_HUMAN,gi|1212216436|pdb|5UHV|A,100.000,100.00,166,0,0,1,166,1,166,1.03e-122,343
sp|P01111|RASN_HUMAN,gi|1199299852|pdb|5XCO|A,91.124,97.04,169,15,0,1,169,3,171,5.37e-114,322
sp|P01111|RASN_HUMAN,gi|829581454|pdb|4QL3|A,91.124,97.04,169,15,0,1,169,2,170,7.53e-114,321
sp|P01111|RASN_HUMAN,gi|560188956|pdb|4L8G|A;gi|645985724|pdb|4LDJ|A;gi|645985772|pdb|4NMM|A,91.124,97.04,169,15,0,1,169,2,170,1.85e-113,320
sp|P01111|RASN_HUMAN,gi|829581546|pdb|4TQA|A;gi|829581547|pdb|4TQA|B,91.617,97.60,167,14,0,1,167,2,168,2.04e-113,320
sp|P01111|RASN_HUMAN,gi|1169077913|pdb|5US4|A;gi|1169077914|pdb|5US4|B;gi|1169077915|pdb|5USJ|A;gi|1169077916|pdb|5USJ|B;gi|1169077917|pdb|5USJ|C;gi|1169077918|pdb|5USJ|D;gi|1169077919|pdb|5USJ|E;gi|1169077920|pdb|5USJ|F,91.124,97.04,169,15,0,1,169,21,189,2.05e-113,321
sp|P01111|RASN_HUMAN,gi|1177806156|pdb|5KYK|A;gi|1177806157|pdb|5KYK|B;gi|1177806158|pdb|5KYK|C,91.617,97.60,167,14,0,1,167,2,168,5.98e-113,319
sp|P01111|RASN_HUMAN,gi|388326939|pdb|4EPR|A,90.533,96.45,169,16,0,1,169,2,170,9.29e-113,318
sp|P01111|RASN_HUMAN,gi|157836990|pdb|4Q21|A,85.638,93.09,188,27,0,1,188,1,188,1.37e-112,319
sp|P01111|RASN_HUMAN,gi|383280379|pdb|4DSO|A;gi|383280380|pdb|4DST|A;gi|383280381|pdb|4DSU|A;gi|385252067|pdb|4DSN|A,91.566,97.59,166,14,0,2,167,3,168,4.10e-112,318
sp|P01111|RASN_HUMAN,gi|157829866|pdb|1AGP|A,90.964,96.39,166,15,0,1,166,1,166,1.08e-111,316
